都道府県,市区町村,店舗名・施設名,分類,評価,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名
東京都,江東区,夢の島熱帯植物館,植物園・温室,S,巨大ドーム温室。人工熱帯空間。,https://www.yumenoshima.jp/botanicalhall,https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E3%81%AE%E5%B3%B6%E7%86%B1%E5%B8%AF%E6%A4%8D%E7%89%A9%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,ドリームコア,,
東京都,板橋区,板橋区立熱帯環境植物館,植物園・温室,S,地下水族展示＋温室。人工環境感が強い。,http://www.seibu-la.co.jp/nettaikan/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BF%E6%A9%8B%E5%8C%BA%E7%AB%8B%E7%86%B1%E5%B8%AF%E7%92%B0%E5%A2%83%E6%A4%8D%E7%89%A9%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%BF%E6%A9%8B%E5%8C%BA,ドリームコア,,
東京都,調布市,神代植物公園 大温室,植物園・温室,A,大型温室の連続空間。,https://www.tokyo-park.or.jp/jindai/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E4%BB%A3%E6%A4%8D%E7%89%A9%E5%85%AC%E5%9C%92%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%AA%BF%E5%B8%83%E5%B8%82,ドリームコア,,
東京都,新宿区,新宿御苑 大温室,植物園・温室,B,現代的だが無人時間の人工熱帯感。,https://fng.or.jp/shinjuku/category/温室/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E5%BE%A1%E8%8B%91%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,ドリームコア,,
千葉県,千葉市中央区,千葉市都市緑化植物園,植物園・温室,A,公共植物園の温室・園路。,http://www.cue-net.or.jp/kouen/chiba-toshiryokka/index.html,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E5%B8%82%E9%83%BD%E5%B8%82%E7%B7%91%E5%8C%96%E6%A4%8D%E7%89%A9%E5%9C%92%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,ドリームコア,,
茨城県,つくば市,筑波実験植物園 温室,植物園・温室,A,研究施設的な巨大温室。,https://tbg.kahaku.go.jp/,https://www.google.com/maps/search/?api=1&query=%E7%AD%91%E6%B3%A2%E5%AE%9F%E9%A8%93%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%20%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82,ドリームコア,,
栃木県,岩舟町,とちぎ花センター 大温室,植物園・温室,A,地方型巨大温室。,http://www.florence.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%81%A1%E3%81%8E%E8%8A%B1%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E5%B2%A9%E8%88%9F%E7%94%BA,ドリームコア,,
群馬県,前橋市,ぐんまフラワーパーク 温室エリア,植物園・温室,B,大型公園＋温室。,http://www.flower-park.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%90%E3%82%93%E3%81%BE%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%83%91%E3%83%BC%E3%82%AF%20%E6%B8%A9%E5%AE%A4%E3%82%A8%E3%83%AA%E3%82%A2%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%89%8D%E6%A9%8B%E5%B8%82,ドリームコア,,
富山県,富山市,富山県中央植物園 温室,植物園・温室,A,大型温室群。,http://www.bgtym.org/,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%E4%B8%AD%E5%A4%AE%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E5%AF%8C%E5%B1%B1%E5%B8%82,ドリームコア,,
愛知県,名古屋市千種区,東山動植物園 温室前館,植物園・温室,A,歴史ある温室建築。,https://www.pref.aichi.jp/kyoiku/bunka/bunkazainavi/yukei/kenzoubutu/kunisitei/0075.html,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E5%B1%B1%E5%8B%95%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%E5%89%8D%E9%A4%A8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA,ドリームコア,,
